Entry	Status	Protein names	Gene names	Gene names  (primary )	Annotation	Tissue specificity	Gene ontology (biological process)	Involvement in disease	Cross-reference (Orphanet)	PubMed ID
Q9BR84	reviewed	Zinc finger protein 559	ZNF559	ZNF559	4 out of 5		"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"			"14702039; 15057824; 15489334"
Q8NGA1	reviewed	Olfactory receptor 1M1 (Olfactory receptor 19-6) (OR19-6) (Olfactory receptor OR19-5)	OR1M1	OR1M1	3 out of 5		G-protein coupled receptor signaling pathway [GO:0007186]			"15489334; 12213199; 14983052"
Q8NG99	reviewed	Olfactory receptor 7G2 (OST260) (Olfactory receptor 19-13) (OR19-13) (Olfactory receptor OR19-6)	OR7G2	OR7G2	3 out of 5		"detection of chemical stimulus involved in sensory perception of smell [GO:0050911]; G-protein coupled receptor signaling pathway [GO:0007186]"			"15057824; 12213199; 14983052"
Q8NGA0	reviewed	Olfactory receptor 7G1 (Olfactory receptor 19-15) (OR19-15) (Olfactory receptor OR19-8)	OR7G1 OR7G1P	OR7G1	4 out of 5		"detection of chemical stimulus involved in sensory perception of smell [GO:0050911]; G-protein coupled receptor signaling pathway [GO:0007186]"			"15057824; 12213199; 14983052"
Q8NG95	reviewed	Olfactory receptor 7G3 (OST085) (Olfactory receptor OR19-9)	OR7G3	OR7G3	3 out of 5		"detection of chemical stimulus involved in sensory perception of smell [GO:0050911]; G-protein coupled receptor signaling pathway [GO:0007186]"			"12213199; 14983052"
Q96PQ6	reviewed	Zinc finger protein 317	ZNF317 KIAA1588	ZNF317	5 out of 5	TISSUE SPECIFICITY: Isoform 1 and isoform 2 are ubiquitously expressed. Isoform 3 and isoform 4 are expressed only in lymphocytes, spleen and lung. {ECO:0000269|PubMed:11688974}.	"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"			"11688974; 10997877; 15489334"
Q96RA2	reviewed	Olfactory receptor 7D2 (HTPCRH03) (Olfactory receptor 19-4) (OR19-4) (Olfactory receptor OR19-10)	OR7D2	OR7D2	4 out of 5		"detection of chemical stimulus involved in sensory perception of smell [GO:0050911]; G-protein coupled receptor signaling pathway [GO:0007186]; regulation of transcription, DNA-templated [GO:0006355]"			"14702039; 12213199; 14983052"
Q32M78	reviewed	Zinc finger protein 699 (Hangover homolog)	ZNF699	ZNF699	3 out of 5		"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"			"15489334; 14702039"
Q8NG98	reviewed	Olfactory receptor 7D4 (OR19-B) (Odorant receptor family subfamily D member 4RT) (Olfactory receptor OR19-7)	OR7D4 OR7D4P	OR7D4	5 out of 5	TISSUE SPECIFICITY: Nasal olfactory epithelium. {ECO:0000269|PubMed:17509148}.	"detection of chemical stimulus involved in sensory perception of smell [GO:0050911]; G-protein coupled receptor signaling pathway [GO:0007186]"			"17873857; 15489334; 14983052; 17509148"
Q6IFN5	reviewed	Olfactory receptor 7E24 (Olfactory receptor OR19-14)	OR7E24 OR7E24P	OR7E24	3 out of 5		"detection of chemical stimulus involved in sensory perception of smell [GO:0050911]; G-protein coupled receptor signaling pathway [GO:0007186]"			"15057824; 15489334; 14983052"
Q13360	reviewed	Zinc finger protein 177	ZNF177	ZNF177	4 out of 5		"negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transcription, DNA-templated [GO:0006351]"			"8661005; 11549323; 14702039; 15057824; 15489334"
Q14584	reviewed	Zinc finger protein 266 (Zinc finger protein HZF1)	ZNF266 KIAA2007	ZNF266	4 out of 5		"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"			"15489334; 14702039; 7865130"
Q9BUY5	reviewed	Zinc finger protein 426	ZNF426	ZNF426	4 out of 5		"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"			"14702039; 15489334"
P58317	reviewed	Zinc finger protein 121 (Zinc finger protein 20)	ZNF121 ZNF20	ZNF121	3 out of 5		"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"			"15057824; 8468057"
Q96MR9	reviewed	Zinc finger protein 560	ZNF560	ZNF560	3 out of 5		"regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]"			"14702039; 15489334; 16959974"
