Chrom	Start	Stop	ChromLen	WinSize
chr1	121535434	124535434	249250621	250000000
chr2	92326171	95326171	243199373	250000000
chr3	90504854	93504854	198022430	200000000
chr4	49660117	52660117	191154276	200000000
chr5	46405641	49405641	180915260	190000000
chr6	58830166	61830166	171115067	180000000
chr7	58054331	61054331	159138663	160000000
chr8	43838887	46838887	146364022	150000000
chr9	47367679	50367679	141213431	150000000
chr10	39254935	42254935	135534747	140000000
chr11	51644205	54644205	135006516	140000000
chr12	34856694	37856694	133851895	140000000
chr13	16000000	19000000	115169878	120000000
chr14	16000000	19000000	107349540	110000000
chr15	17000000	20000000	102531392	110000000
chr16	35335801	38335801	90354753	100000000
chr17	22263006	25263006	81195210	90000000
chr18	15460898	18460898	78077248	80000000
chr19	24681782	27681782	59128983	60000000
chr20	26369569	29369569	63025520	70000000
chr21	11288129	14288129	48129895	50000000
chr22	13000000	16000000	51304566	60000000
chrX	58632012	61632012	155270560	160000000
chrY	10104553	13104553	59373566	60000000
